
System after: 1 s
A12 | __
A12 | __
A12 | ==
A12 | ==
A12 | ==
A12 | ==
A12 | ==
Middelheimlaan | _Z
Middelheimlaan | B_
Middelheimlaan | VB
Middelheimlaan | ==
Middelheimlaan | ==

System after: 2 s
A12 | __
A12 | __
A12 | ==
A12 | ==
A12 | ==
A12 | ==
A12 | ==
Middelheimlaan | _Z
Middelheimlaan | B_
Middelheimlaan | VB
Middelheimlaan | ==
Middelheimlaan | ==

System after: 3 s
A12 | __
A12 | __
A12 | ==
A12 | ==
A12 | ==
A12 | ==
A12 | ==
Middelheimlaan | _Z
Middelheimlaan | B_
Middelheimlaan | VB
Middelheimlaan | ==
Middelheimlaan | ==

System after: 4 s
A12 | __
A12 | __
A12 | ==
A12 | ==
A12 | ==
A12 | ==
A12 | ==
Middelheimlaan | _Z
Middelheimlaan | B_
Middelheimlaan | VB
Middelheimlaan | ==
Middelheimlaan | ==

System after: 5 s
A12 | __
A12 | __
A12 | ==
A12 | ==
A12 | ==
A12 | ==
A12 | ==
Middelheimlaan | _Z
Middelheimlaan | B_
Middelheimlaan | VB
Middelheimlaan | ==
Middelheimlaan | ==

System after: 6 s
A12 | __
A12 | __
A12 | ==
A12 | ==
A12 | ==
A12 | ==
A12 | ==
Middelheimlaan | _Z
Middelheimlaan | B_
Middelheimlaan | VB
Middelheimlaan | ==
Middelheimlaan | ==

System after: 7 s
A12 | __
A12 | __
A12 | ==
A12 | ==
A12 | ==
A12 | ==
A12 | ==
Middelheimlaan | _Z
Middelheimlaan | B_
Middelheimlaan | VB
Middelheimlaan | ==
Middelheimlaan | ==

System after: 8 s
A12 | __
A12 | __
A12 | ==
A12 | ==
A12 | ==
A12 | ==
A12 | ==
Middelheimlaan | _Z
Middelheimlaan | B_
Middelheimlaan | VB
Middelheimlaan | ==
Middelheimlaan | ==

System after: 9 s
A12 | __
A12 | __
A12 | ==
A12 | ==
A12 | ==
A12 | ==
A12 | ==
Middelheimlaan | _Z
Middelheimlaan | B_
Middelheimlaan | VB
Middelheimlaan | ==
Middelheimlaan | ==

System after: 10 s
A12 | __
A12 | __
A12 | ==
A12 | ==
A12 | ==
A12 | ==
A12 | ==
Middelheimlaan | _Z
Middelheimlaan | B_
Middelheimlaan | VB
Middelheimlaan | ==
Middelheimlaan | ==

System after: 11 s
A12 | __
A12 | __
A12 | ==
A12 | ==
A12 | ==
A12 | ==
A12 | ==
